Image	Object ID	Object type	Name	Classification	Parent	ROI	Atlas_X	Atlas_Y	Atlas_Z
animalid0_030.ome.tiff	5ff386a8-5abd-46d1-8e0d-f5c5365457c1	Detection		Cells: marker-	VeCB	Polygon	11.523	4.2724	4.2767
animalid0_030.ome.tiff	9a2a9a8c-acbe-4308-bc5e-f3c9fd1754c0	Detection		Cells: marker-	VeCB	Polygon	11.5202	4.2784	4.4186
animalid0_030.ome.tiff	481a519b-8b40-4450-9ec6-725181807d72	Detection		Cells: marker-	VeCB	Polygon	11.506	4.3172	4.3563
animalid0_030.ome.tiff	fd28e09c-2c64-4750-b026-cd99e3526a57	Detection		Cells: marker-	VeCB	Polygon	11.5284	4.2574	4.3364
animalid0_030.ome.tiff	3d9ce034-f2ed-4c73-99be-f782363cf323	Detection		Cells: marker-	VeCB	Polygon	11.5487	4.2033	4.2943
animalid0_030.ome.tiff	3261600f-3430-414c-a6a0-b901dd672317	Detection		Cells: marker-	VeCB	Polygon	11.5522	4.1931	4.3942
animalid0_030.ome.tiff	8f1ca520-ca7a-470c-94af-41982a5c11f0	Detection		Cells: marker-	DN	Polygon	11.5291	4.2645	3.3677
animalid0_030.ome.tiff	b3b76848-139a-46d7-a393-5f00022a08f0	Detection		Cells: marker-	IP	Polygon	11.5018	4.3347	3.6574
animalid0_030.ome.tiff	166e0d85-3904-4787-8751-7233c0063d4c	Detection		Cells: marker-	IP	Polygon	11.4797	4.3944	3.603
animalid0_030.ome.tiff	48fc5afa-ef68-4664-8498-3b1761712388	Detection		Cells: marker-	IP	Polygon	11.5785	4.1312	3.4796
animalid0_030.ome.tiff	31ad70aa-f6a9-4f9d-bd68-85a3e788428f	Detection		Cells: marker-	IP	Polygon	11.5529	4.1974	3.739
animalid0_030.ome.tiff	c23dfd87-e750-433b-9895-dc0a28a6f39c	Detection		Cells: marker-	IP	Polygon	11.5141	4.3027	3.5756
animalid0_030.ome.tiff	47993390-5af1-407c-950a-33af87733839	Detection		Cells: marker-	IP	Polygon	11.6393	3.9692	3.4345
animalid0_030.ome.tiff	4c4ffd7d-9530-4430-82b4-9e50f4e1e4eb	Detection		Cells: marker-	IP	Polygon	11.5185	4.2897	3.7034
animalid0_030.ome.tiff	fb53ac72-cfd6-47f5-a671-b10c6657396f	Detection		Cells: marker-	IP	Polygon	11.5803	4.1257	3.5582
animalid0_030.ome.tiff	ceb8828d-2f2b-4947-8de8-ae3526aeb6e0	Detection		Cells: marker-	IP	Polygon	11.6428	3.9595	3.4733
animalid0_030.ome.tiff	f4196595-070f-4eac-b76d-1b62d8899fab	Detection		Cells: marker-	IP	Polygon	11.6198	4.0216	3.3934
animalid0_030.ome.tiff	837b86a7-f7d5-4837-a598-73f46cbe6e7e	Detection		Cells: marker-	IP	Polygon	11.7148	3.7662	3.5404
animalid0_030.ome.tiff	f1805956-d050-4c6d-ada1-aeddca8c3b7d	Detection		Cells: marker-	IP	Polygon	11.5587	4.1804	3.8914
animalid0_030.ome.tiff	64f2a12d-c91c-4125-b8d7-66366575efd0	Detection		Cells: marker-	IP	Polygon	11.4976	4.3455	3.7133
animalid0_030.ome.tiff	ea00ee50-a789-4687-a0d0-b4aea7d28925	Detection		Cells: marker-	IP	Polygon	11.5472	4.2148	3.4956
animalid0_030.ome.tiff	ce1305d7-d184-4ca2-9682-b6486c97fd23	Detection		Cells: marker-	IP	Polygon	11.4813	4.3902	3.6048
animalid0_030.ome.tiff	edb64334-28e7-4cb3-bd01-dcc2e0d456c4	Detection		Cells: marker-	IP	Polygon	11.5449	4.2215	3.4353
animalid0_030.ome.tiff	9b9239c7-410a-4dce-822c-8548d408e2e7	Detection		Cells: marker-	IP	Polygon	11.4929	4.3584	3.6832
animalid0_030.ome.tiff	afbd0600-84c7-4f8d-baf0-7a1c1ffc397b	Detection		Cells: marker-	IP	Polygon	11.6369	3.9749	3.5088
animalid0_030.ome.tiff	501e1965-aa48-4cd8-ac36-8c232148dd54	Detection		Cells: marker-	IP	Polygon	11.636	3.977	3.5361
animalid0_030.ome.tiff	09f74c22-71e8-421c-b891-158193cd1b03	Detection		Cells: marker-	IP	Polygon	11.5097	4.3135	3.6921
animalid0_030.ome.tiff	a59fc08f-43d5-4c1e-820a-9014da758e91	Detection		Cells: marker-	IP	Polygon	11.7148	3.7629	3.9077
animalid0_030.ome.tiff	c0121719-3db7-4cd1-a05b-b6b4d1b252d6	Detection		Cells: marker-	IP	Polygon	11.7206	3.7491	3.7108
animalid0_030.ome.tiff	d1e0169d-faa0-4f82-9307-4779d739d147	Detection		Cells: marker-	IP	Polygon	11.5533	4.194	3.9936
animalid0_030.ome.tiff	e6dd16c5-61b4-4ede-bcb2-54cf336fb512	Detection		Cells: marker-	IP	Polygon	11.5631	4.1685	3.8997
animalid0_030.ome.tiff	065eab77-9fb3-43f1-94af-c280b787b369	Detection		Cells: marker-	IP	Polygon	11.5672	4.1586	3.8043
animalid0_030.ome.tiff	3a8dd272-308d-4c63-bfbe-4ac1d5a9b6f3	Detection		Cells: marker-	IP	Polygon	11.6359	3.974	3.8828
animalid0_030.ome.tiff	b69d3e6c-6500-4a0f-aadd-ca137d4a1789	Detection		Cells: marker-	IP	Polygon	11.5743	4.1377	4.0075
animalid0_030.ome.tiff	47737c1c-ee0d-4b23-9af2-0887ff980220	Detection		Cells: marker-	IP	Polygon	11.5661	4.1621	3.7381
animalid0_030.ome.tiff	8d4fd519-a6b8-46e8-ac4a-678a9cff5e5f	Detection		Cells: marker+	IP	Polygon	11.6749	3.8669	4.2001
animalid0_030.ome.tiff	7040d15b-b500-4b55-b5b1-21b4e7c0ac9c	Detection		Cells: marker-	IP	Polygon	11.7408	3.6938	3.8527
animalid0_030.ome.tiff	2348b6cb-1b21-42c1-9529-d152f00cd098	Detection		Cells: marker-	IP	Polygon	11.6618	3.9026	4.108
animalid0_030.ome.tiff	3f783397-2864-49c1-a5d6-11d3ff023460	Detection		Cells: marker-	IP	Polygon	11.5701	4.1537	3.4998
animalid0_030.ome.tiff	ec46952e-5f43-449b-9f09-52aed9d7e91a	Detection		Cells: marker-	IP	Polygon	11.5724	4.1459	3.6576
animalid0_030.ome.tiff	c1747ac4-ab66-4e1f-849c-630794d105bc	Detection		Cells: marker-	IP	Polygon	11.7308	3.7183	4.0949
animalid0_030.ome.tiff	8bb21341-e32c-4983-bf43-ad16b769ca2b	Detection		Cells: marker-	IP	Polygon	11.7091	3.7801	3.694
animalid0_030.ome.tiff	f3d249bf-986a-4261-94e5-13a7b97dcfba	Detection		Cells: marker-	IP	Polygon	11.5704	4.1505	3.7487
animalid0_030.ome.tiff	e8745d9e-405d-4a77-ab92-ce4fb221896d	Detection		Cells: marker-	FN	Polygon	11.6918	3.8156	4.8386
animalid0_030.ome.tiff	79531a6c-638f-404a-b365-b48f3f8189ca	Detection		Cells: marker-	FN	Polygon	11.7051	3.7803	4.8098
animalid0_030.ome.tiff	9f8371c5-2149-497f-b4aa-e2e7de2d1cf8	Detection		Cells: marker-	FN	Polygon	11.6734	3.8659	4.7079
animalid0_030.ome.tiff	76d18656-c77e-4a94-a1e5-7799ed81e5ef	Detection		Cells: marker-	FN	Polygon	11.6868	3.8296	4.7654
animalid0_030.ome.tiff	315b50bb-1af0-4f39-983f-6b76234cb4cb	Detection		Cells: marker-	FN	Polygon	11.6677	3.8796	4.8902
animalid0_030.ome.tiff	399e6f7a-56b6-41b8-9135-e1179a460a83	Detection		Cells: marker-	FN	Polygon	11.7144	3.7578	4.543
animalid0_030.ome.tiff	551cbd11-9002-41dd-b914-076cdaa44c9d	Detection		Cells: marker-	FN	Polygon	11.8014	3.5212	4.9788
animalid0_030.ome.tiff	6794e84b-6a22-47e9-9243-13289b6fd8f6	Detection		Cells: marker-	FN	Polygon	11.7025	3.7857	4.9841
animalid0_030.ome.tiff	6d882552-e610-472a-b427-044383c91bbf	Detection		Cells: marker-	FN	Polygon	11.7911	3.5484	5.0195
animalid0_030.ome.tiff	9d105327-4681-45fa-90d3-0a903aff1d78	Detection		Cells: marker-	FN	Polygon	11.7624	3.6244	5.0909
animalid0_030.ome.tiff	bf177f25-4a4d-4542-9faa-845ba0c81f22	Detection		Cells: marker-	FN	Polygon	11.709	3.7679	5.0088
animalid0_030.ome.tiff	0719adc7-4b7e-4305-89d2-7ccf8c959068	Detection		Cells: marker-	FN	Polygon	11.7264	3.7208	5.0736
animalid0_030.ome.tiff	a0e52999-cd2d-42b1-acb8-d4a9dec8ad68	Detection		Cells: marker-	CUL4, 5	Polygon	12.1065	2.7018	5.3292
animalid0_030.ome.tiff	921e1719-7260-4e63-9e8e-360f0cd07a89	Detection		Cells: marker-	CUL4, 5	Polygon	12.1711	2.5307	5.1656
animalid0_030.ome.tiff	f085e5d3-95d4-4dd4-8639-88e8923428d0	Detection		Cells: marker-	CUL4, 5	Polygon	12.1401	2.6138	5.1356
animalid0_030.ome.tiff	1b693221-0e76-4edc-9b6a-87f164c457b9	Detection		Cells: marker-	CUL4, 5	Polygon	12.1565	2.5668	5.4783
animalid0_030.ome.tiff	d419f65a-911f-4d83-8645-3241d275a6a1	Detection		Cells: marker-	CUL4, 5	Polygon	12.2153	2.4094	5.4807
animalid0_030.ome.tiff	fb00a837-d5ca-46b7-a419-5c96e4882eb1	Detection		Cells: marker-	CUL4, 5	Polygon	12.2302	2.3697	5.4618
animalid0_030.ome.tiff	0ee91c8a-9f86-408b-9b16-742922d0b337	Detection		Cells: marker-	CUL4, 5	Polygon	12.0312	2.9005	5.6192
animalid0_030.ome.tiff	605cff3a-c1b5-4f66-b0fd-cd4e4e3e4a78	Detection		Cells: marker-	CUL4, 5	Polygon	12.1883	2.4823	5.4112
animalid0_030.ome.tiff	3c8aab77-5a2c-48b8-ac98-dd447f100d63	Detection		Cells: marker-	CUL4, 5	Polygon	12.1489	2.5893	5.2387
animalid0_030.ome.tiff	1b214c00-7e5d-49d2-80cc-ab6da45c51fe	Detection		Cells: marker-	CUL4, 5	Polygon	12.196	2.4616	5.4167
animalid0_030.ome.tiff	41cee1b8-f4bd-488c-a3ab-aa8469436332	Detection		Cells: marker-	CUL4, 5	Polygon	11.9444	3.1361	5.2648
animalid0_030.ome.tiff	9d9c3b15-645d-4d19-a866-ec374e7ca7c2	Detection		Cells: marker-	CUL4, 5	Polygon	12.2412	2.34	5.4875
animalid0_030.ome.tiff	7a3a6ed9-2b84-499c-b18f-2020914b56b0	Detection		Cells: marker-	CUL4, 5	Polygon	12.0786	2.7762	5.3526
animalid0_030.ome.tiff	90be1946-8992-4ca4-b7e7-fdae62269199	Detection		Cells: marker-	CUL4, 5	Polygon	12.1495	2.5871	5.3078
animalid0_030.ome.tiff	d0bb4e3d-f367-4645-a250-c8cfd6b68f86	Detection		Cells: marker-	CUL4, 5	Polygon	12.1819	2.5019	5.1498
animalid0_030.ome.tiff	533fb18c-fc14-47b9-8bf7-b8b18781eca4	Detection		Cells: marker-	CUL4, 5	Polygon	11.9928	3.012	4.684
animalid0_030.ome.tiff	645704dd-aaca-444b-803e-39c6b9b58e3f	Detection		Cells: marker-	CUL4, 5	Polygon	12.2181	2.4032	5.3598
animalid0_030.ome.tiff	d8510239-f412-4dfb-824d-a84bd2ca8223	Detection		Cells: marker-	CUL4, 5	Polygon	11.9918	3.0148	4.6713
animalid0_030.ome.tiff	4bf87d1e-135d-4717-8c56-5ff3c022decd	Detection		Cells: marker-	CUL4, 5	Polygon	12.0745	2.7897	5.0751
animalid0_030.ome.tiff	b324f7b6-215a-4a41-b98b-f6839236e5cb	Detection		Cells: marker-	CUL4, 5	Polygon	11.9501	3.1251	4.7951
animalid0_030.ome.tiff	6bfa4305-f50d-40c2-92e1-13fe47db6ecd	Detection		Cells: marker-	CUL4, 5	Polygon	12.1042	2.7098	5.1288
animalid0_030.ome.tiff	42a7da15-bd19-4563-baac-ba37b1c067d1	Detection		Cells: marker-	CUL4, 5	Polygon	12.1612	2.5558	5.3013
animalid0_030.ome.tiff	51d70856-234d-4f2f-bc8f-87a9c2981696	Detection		Cells: marker-	CUL4, 5	Polygon	12.0014	2.9889	4.6826
animalid0_030.ome.tiff	8be2ee40-76b8-4f11-b271-e2bdc927ade1	Detection		Cells: marker+	CUL4, 5	Polygon	12.1773	2.5118	5.4053
animalid0_030.ome.tiff	b973a720-afe3-4366-a801-a09838f4434a	Detection		Cells: marker-	CUL4, 5	Polygon	12.1925	2.4737	5.1216
animalid0_030.ome.tiff	72fd5575-3f97-452c-a52a-a7879699871f	Detection		Cells: marker-	CUL4, 5	Polygon	12.2334	2.3611	5.4708
animalid0_030.ome.tiff	87c2ec64-6a62-46a1-997d-c2ccd3c9bcf2	Detection		Cells: marker-	CUL4, 5	Polygon	11.9639	3.0898	4.6204
animalid0_030.ome.tiff	1a28f70c-7a75-4489-a1d8-eefb3c5c1041	Detection		Cells: marker-	CUL4, 5	Polygon	11.9608	3.091	5.3879
animalid0_030.ome.tiff	a505ecce-bf06-4d44-bb71-357223208753	Detection		Cells: marker-	CUL4, 5	Polygon	12.1983	2.4581	5.1444
animalid0_030.ome.tiff	f35e4e4f-f411-46aa-ad5d-a63f9b303ceb	Detection		Cells: marker-	CUL4, 5	Polygon	12.1542	2.571	5.6724
animalid0_030.ome.tiff	dd64b96f-7ac1-4dc5-a6a4-6323a37c1327	Detection		Cells: marker-	CUL4, 5	Polygon	11.9915	3.0126	4.988
animalid0_030.ome.tiff	b9d4edea-658b-4d41-be25-a8f6946f4539	Detection		Cells: marker-	CUL4, 5	Polygon	12.1803	2.5072	5.0412
animalid0_030.ome.tiff	7a08aa73-d6b2-491e-83da-9c2d0545c0b4	Detection		Cells: marker-	CUL4, 5	Polygon	12.1813	2.5047	5.0067
animalid0_030.ome.tiff	52e45a9f-cef6-46ae-af85-d00ef3f41c1d	Detection		Cells: marker-	CUL4, 5	Polygon	12.0007	2.9822	5.6178
animalid0_030.ome.tiff	31b2467c-9b85-4a54-b98b-443e5c2711ea	Detection		Cells: marker-	CUL4, 5	Polygon	12.1926	2.4711	5.3864
animalid0_030.ome.tiff	131b54a8-5f27-4968-8927-ef3ea33a730c	Detection		Cells: marker-	CUL4, 5	Polygon	12.1467	2.5969	5.0616
