Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Fibers: EGFP area µm^2	Fibers: DsRed area µm^2	ID	Side	Parent ID	Area µm^2	Perimeter µm
animalid1-SC_s1.ome.tiff	dcfe5196-4e8d-4126-b255-a9ea393c383a	Annotation	Root		Root object (Image)	Geometry	1353.7	1060	108993.1953	15533.3701				3172474	9853.3
animalid1-SC_s1.ome.tiff	acc74bc0-3dd0-4b3e-86e3-e6c7b681d544	Annotation	root	Right: root	Root	Polygon	864.44	989.95	39162.8906	5093.2798	250	0		1603335.7	4844.2
animalid1-SC_s1.ome.tiff	94571cf9-f22b-453f-860c-eb13d0e72440	Annotation	WM	Right: WM	root	Geometry	791	1094.6	20189.0469	2582.4824	130	0	250	884002	7927.8
animalid1-SC_s1.ome.tiff	473d65fb-fda4-4721-ba6f-cc659efc1d5a	Annotation	vf	Right: vf	WM	Polygon	984.31	1599	6298.3574	940.41	70	0	130	281816.9	2719.5
animalid1-SC_s1.ome.tiff	449e2cd1-eca2-4708-83fe-651f378c3a14	Annotation	df	Right: df	WM	Polygon	1242.9	401.26	1545.075	241.38	74	0	130	152952.8	1694.4
animalid1-SC_s1.ome.tiff	2b68c089-7227-4474-9e22-0bd1aec98292	Annotation	psdc	Right: psdc	df	Polygon	1304.3	377.35	82.215	20.655	64	0	74	17410.3	930.39
animalid1-SC_s1.ome.tiff	a16fb6c7-f608-4bcf-b8de-73937dfc4cd8	Annotation	cu	Right: cu	df	Geometry	1149.5	359.14	760.185	142.56	61	0	74	71715.3	1238
animalid1-SC_s1.ome.tiff	bffc53c4-1342-4540-b1de-d025c9a7d7ac	Annotation	dcs	Right: dcs	df	Polygon	1318.4	599.49	386.1675	57.915	62	0	74	32910.9	741.6
animalid1-SC_s1.ome.tiff	64805370-9c77-49f1-9c3e-9276879088a2	Annotation	gr	Right: gr	df	Polygon	1344.5	301.04	316.5075	19.6425	63	0	74	30809.1	829.25
animalid1-SC_s1.ome.tiff	1afd5ff3-17b8-468f-a881-3dc7aef70a19	Annotation	lfc	Right: lfc	WM	Geometry	515.67	1014.3	12334.2754	1400.895	75	0	130	449076.3	4358.9
animalid1-SC_s1.ome.tiff	1271a8e8-415a-4b8e-a7b9-24f2eb54f978	Annotation	lf	Right: lf	lfc	Polygon	516.65	1187.9	9174.668	883.71	65	0	75	296660.6	2481.9
animalid1-SC_s1.ome.tiff	aef314e8-a826-44e9-938e-ed7b9f2a73e3	Annotation	dl	Right: dl	lfc	Geometry	671.22	309.88	661.9725	170.3025	66	0	75	25418.7	1647.9
animalid1-SC_s1.ome.tiff	23377e43-9087-401c-8cc7-0cf64f38dac7	Annotation	LatC	Right: LatC	lfc	Polygon	369.66	681.62	600.4125	108.54	67	0	75	32319.9	725.27
animalid1-SC_s1.ome.tiff	0c32ffce-0a4d-459b-ac17-88cadae1fc8e	Annotation	LSp	Right: LSp	lfc	Polygon	630.67	713.09	1410.4125	184.4775	68	0	75	55225.7	1039.9
animalid1-SC_s1.ome.tiff	b5483179-a404-4129-8475-6a910dd42948	Annotation	rs	Right: rs	lfc	Polygon	366.77	856.65	486.81	53.865	69	0	75	39451.4	786.96
animalid1-SC_s1.ome.tiff	1c5f26c7-0741-4747-ad12-85df6b9d0ccf	Annotation	GM	Right: GM	root	Polygon	954.71	861.38	18972.6309	2512.6201	71	0	250	719454.6	3983.3
animalid1-SC_s1.ome.tiff	1317b3ed-75cd-4ba3-bba0-9a1ff8552756	Annotation	DH	Right: DH	GM	Polygon	861.66	545.59	4805.5273	921.375	90	0	71	314906.2	3040.9
animalid1-SC_s1.ome.tiff	9b548dee-c56a-488c-9d41-dc4e0006c94c	Annotation	1Sp	Right: 1Sp	DH	Polygon	573.37	384.97	522.6525	70.47	1	0	90	14314	1375.4
animalid1-SC_s1.ome.tiff	1f170d09-49e5-4a76-a369-69e7d5e73afc	Annotation	2Ssp	Right: 2Ssp	DH	Polygon	626.85	386.66	426.6675	113.6025	2	0	90	20344.5	1409
animalid1-SC_s1.ome.tiff	82c7512a-8c92-482a-8a6b-99d33237db8b	Annotation	2Spl	Right: 2Spl	DH	Polygon	640.61	427.08	328.05	81	3	0	90	24335.3	1487
animalid1-SC_s1.ome.tiff	96c466ec-26ad-4f88-85d5-b2f915e9e76d	Annotation	3Sp	Right: 3Sp	DH	Polygon	726.13	440.66	422.82	82.215	4	0	90	54144.4	1427.9
animalid1-SC_s1.ome.tiff	19a9cfe4-771a-4465-bab0-ea1fc03376ae	Annotation	4Sp	Right: 4Sp	DH	Geometry	922.46	519.63	350.9325	113.805	5	0	90	78548.8	2364
animalid1-SC_s1.ome.tiff	30f220c4-df6d-4d27-bd4e-a67bb2de7a95	Annotation	IB	Right: IB	DH	Polygon	1123.1	532.11	33.8175	42.3225	6	0	90	7454.4	342.8
animalid1-SC_s1.ome.tiff	cbbc9a71-bcba-468e-9f4f-e21aba29e87f	Annotation	5SpL	Right: 5SpL	DH	Polygon	928.41	667.23	1797.795	255.7575	8	0	90	82429.2	1082.7
animalid1-SC_s1.ome.tiff	85ad96b6-04c7-472c-b604-d3867282dae0	Annotation	5SpM	Right: 5SpM	DH	Polygon	1141	733.46	917.325	161.7975	9	0	90	32883.2	1103.1
animalid1-SC_s1.ome.tiff	5c2411d7-15b6-4727-9fec-8316897ac0dc	Annotation	C	Right: C	GM	Polygon	1351.2	963.77	1696.3425	201.0825	100	0	71	40030.3	991.27
animalid1-SC_s1.ome.tiff	f9e99ffd-3305-468b-a176-c89bb56e2d5a	Annotation	10Sp	Right: 10Sp	C	Polygon	1349.6	962.15	1692.6975	184.8825	14	0	100	38680.5	1192
