Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Parent ID	Side	Fibers: Cy5 Length µm	Fibers: DsRed Length µm	Fibers: EGFP Length µm	Num Detections	Num Fibers: Cy5	Num Fibers: DsRed	Num Fibers: EGFP	Area µm^2	Perimeter µm
mouse1_050.ome.tiff	cf1709ed-1264-478f-a94a-01c2ea8a9df1	Annotation	rust	Right: rust	eps	Polygon	7065.1	5201.5	863.0	1000.0	0.0	13466.1522	1178.3979	193.5175	4	3	1	0	20043.4	704.7
mouse1_050.ome.tiff	41d0c436-af11-488c-8f94-3f260e298a7b	Annotation	LRNm	Left: LRNm	LRN	Polygon	4321.3	5295.9	955.0	235.0	0.0	8.3472	61.4523	0.0	725	102	599	24	199530.7	2135.3
mouse1_050.ome.tiff	462624f9-d514-47d3-b4b6-c008bb0e09a9	Annotation	UVU	Right: UVU	VERM	Geometry	6018.8	3296.6	957.0	645.0	0.0	13.3704	8.0264	0.0	1	1	0	0	628036.0	6093.9
mouse1_050.ome.tiff	2857383d-2741-48bb-b572-db0a47f76d3e	Annotation	RPA	Left: RPA	MY-sat	Polygon	5510.2	5305.7	230.0	379.0	0.0	0.0	0.0	0.0	3	3	0	0	14879.6	739.11
mouse1_050.ome.tiff	d65e4728-2dc0-4aee-93eb-1c67f1d97fc3	Annotation	cbp	Right: cbp	cbf	Geometry	7303.5	5139.4	752.0	960.0	0.0	1.0952	0.0	0.0	3	3	0	0	45034.9	1757.2
mouse1_050.ome.tiff	55b57cd4-3bdc-4f7c-bced-83a90a2ded18	Annotation	sV	Right: sV	Vn	Geometry	7604.9	4231.6	229.0	901.0	0.0	0.0	0.0	0.0	0	0	0	0	161617.9	4691.4
mouse1_050.ome.tiff	8afe6136-866b-4201-a397-adeb63622e91	Annotation	NTS	Right: NTS	MY-sen	Geometry	5829.2	3903.0	651.0	386.0	0.0	2225.8268	3922.1729	411.8791	109	87	22	0	132913.9	2413.9
mouse1_050.ome.tiff	97184907-6b9e-4114-8bb3-a2906d4ddcb1	Annotation	IO	Left: IO	MY-mot	Geometry	5247.6	5194.0	83.0	370.0	0.0	36.4495	41.4539	0.0	237	18	79	140	168652.5	2476.6
mouse1_050.ome.tiff	3b79bbda-8005-44a8-bf86-f52e3c6294f8	Annotation	HEM	Right: HEM	CBX	Geometry	7232.3	3031.6	1073.0	528.0	0.0	258.133	317.167	6.1567	4	3	0	1	1165210.8	5557.4
mouse1_050.ome.tiff	dd671033-c4db-4a15-a136-b5438f8406a5	Annotation	MDRNd	Left: MDRNd	MDRN	Polygon	4283.0	4559.8	1098.0	395.0	0.0	6.7983	0.0	0.0	2125	396	1595	134	524412.1	3531.6
mouse1_050.ome.tiff	fe6ee9c9-07d2-42d6-8b3b-e7902ec34247	Annotation	CBX	Left: CBX	CB	Geometry	4390.8	3184.4	528.0	512.0	0.0	16918.4635	37342.4424	3163.0402	6	5	0	1	1686205.0	10429.1
